# {"t_start": 1557470624.180563, "env_id": "maze-sample-5x5-v0"} 
r,l,t
-1.928,733,222.059746
0.14,216,222.170227
0.68,81,222.210153
-1.684,672,222.619334
-1.352,589,222.94578
0.384,155,223.028355
-3.58,1146,223.599181
-2.748,938,224.156075
0.128,219,224.255432
0.336,167,224.334883
0.16,211,224.457753
-0.128,283,224.627431
0.22,196,224.747084
0.58,106,224.807751
-1.776,695,225.26242
-0.56,391,225.50242
0.828,44,225.527574
0.524,120,225.602942
-0.56,391,225.855779
0.104,225,225.993355
0.444,140,226.06744
-1.372,594,226.386038
0.568,109,226.446245
0.152,213,226.586851
0.428,144,226.656957
-3.288,1073,227.215363
-0.46,366,227.443666
0.436,142,227.528727
0.392,153,227.615321
0.1,226,227.743647
-0.408,353,227.938451
0.428,144,228.005128
0.784,55,228.033942
0.368,159,228.113238
0.4,151,228.184988
0.248,189,228.281295
0.448,139,228.363132
-0.048,263,228.551674
0.528,119,228.608328
-0.464,367,228.814581
-0.24,311,228.980568
-1.728,683,229.32784
0.296,177,229.412219
-0.632,409,229.603727
0.364,160,229.679141
0.616,97,229.724548
-0.008,253,229.84406
0.696,77,229.879659
-1.092,524,230.16153
0.112,223,230.284759
-0.14,286,230.480574
0.56,111,230.534266
0.7,76,230.569621
0.108,224,230.691084
-0.08,271,230.822024
0.012,248,230.942991
-1.908,728,231.388587
-0.188,298,231.543233
0.316,172,231.624919
0.48,131,231.693224
0.664,85,231.7384
0.8,51,231.772516
0.776,57,231.804407
0.716,72,231.837126
0.844,40,231.855733
0.704,75,231.890238
0.516,122,231.948771
0.532,118,232.01001
0.356,162,232.086597
0.084,230,232.206431
0.428,144,232.276352
0.328,169,232.357942
-0.128,283,232.532697
0.1,226,232.703114
0.24,191,232.807666
0.38,156,232.907452
0.684,80,232.954793
0.392,153,233.035911
0.636,92,233.07632
0.412,148,233.14433
0.584,105,233.200486
-0.484,372,233.391441
0.076,232,233.531586
0.24,191,233.662713
0.856,37,233.687335
0.308,174,233.780367
0.08,231,233.899785
0.724,70,233.939114
0.1,226,234.051368
0.472,133,234.113747
0.496,127,234.17784
0.308,174,234.274529
0.544,115,234.327898
0.34,166,234.417473
-0.092,274,234.578713
0.508,124,234.691616
0.76,61,234.743149
0.2,201,234.862705
0.164,210,234.976786
0.668,84,235.019349
0.176,207,235.117617
0.736,67,235.153203
0.136,217,235.268589
0.436,142,235.347377
0.652,88,235.394355
0.612,98,235.448276
0.124,220,235.569348
0.74,66,235.601727
0.532,118,235.67478
0.68,81,235.714729
-0.04,261,235.83657
0.348,164,235.928074
0.608,99,235.975417
0.68,81,236.017132
0.624,95,236.071313
0.476,132,236.132381
0.224,195,236.224933
0.424,145,236.306594
0.316,172,236.396573
-0.052,264,236.55098
0.432,143,236.639558
